Step,Time,Roll,Pitch,Yaw,M1,M2,M3,M4,Target_Roll,Target_Pitch
0,0.000000,0.007812,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000
1,0.007812,0.007812,0.000000,0.000000,0.527344,0.527344,0.472656,0.472656,0.000000,0.000000
2,0.015625,0.007812,0.000000,0.000000,0.527344,0.527344,0.472656,0.472656,0.000000,0.000000
3,0.023438,0.007812,0.000000,0.000000,0.531250,0.531250,0.468750,0.468750,0.000000,0.000000
4,0.031250,0.007812,0.000000,0.000000,0.531250,0.531250,0.468750,0.468750,0.000000,0.000000
5,0.039062,0.007812,0.000000,0.000000,0.535156,0.535156,0.464844,0.464844,0.000000,0.000000
6,0.046875,0.007812,0.000000,0.000000,0.535156,0.535156,0.464844,0.464844,0.000000,0.000000
7,0.054688,0.007812,0.000000,0.000000,0.539062,0.539062,0.460938,0.460938,0.000000,0.000000
8,0.062500,0.007812,0.000000,0.000000,0.539062,0.539062,0.460938,0.460938,0.000000,0.000000
9,0.070312,0.007812,0.000000,0.000000,0.542969,0.542969,0.457031,0.457031,0.000000,0.000000
10,0.078125,0.007812,0.000000,0.000000,0.542969,0.542969,0.457031,0.457031,0.000000,0.000000
11,0.085938,0.007812,0.000000,0.000000,0.546875,0.546875,0.453125,0.453125,0.000000,0.000000
12,0.093750,0.007812,0.000000,0.000000,0.546875,0.546875,0.453125,0.453125,0.000000,0.000000
13,0.101562,0.007812,0.000000,0.000000,0.550781,0.550781,0.449219,0.449219,0.000000,0.000000
14,0.109375,0.007812,0.000000,0.000000,0.550781,0.550781,0.449219,0.449219,0.000000,0.000000
15,0.117188,0.007812,0.000000,0.000000,0.554688,0.554688,0.445312,0.445312,0.000000,0.000000
16,0.125000,0.007812,0.000000,0.000000,0.554688,0.554688,0.445312,0.445312,0.000000,0.000000
17,0.132812,0.007812,0.000000,0.000000,0.558594,0.558594,0.441406,0.441406,0.000000,0.000000
18,0.140625,0.007812,0.000000,0.000000,0.558594,0.558594,0.441406,0.441406,0.000000,0.000000
19,0.148438,0.007812,0.000000,0.000000,0.562500,0.562500,0.437500,0.437500,0.000000,0.000000
20,0.156250,0.007812,0.000000,0.000000,0.562500,0.562500,0.437500,0.437500,0.000000,0.000000
21,0.164062,0.007812,0.000000,0.000000,0.566406,0.566406,0.433594,0.433594,0.000000,0.000000
22,0.171875,0.007812,0.000000,0.000000,0.566406,0.566406,0.433594,0.433594,0.000000,0.000000
23,0.179688,0.007812,0.000000,0.000000,0.570312,0.570312,0.429688,0.429688,0.000000,0.000000
24,0.187500,0.007812,0.000000,0.000000,0.570312,0.570312,0.429688,0.429688,0.000000,0.000000
25,0.195312,0.007812,0.000000,0.000000,0.574219,0.574219,0.425781,0.425781,0.000000,0.000000
26,0.203125,0.007812,0.000000,0.000000,0.574219,0.574219,0.425781,0.425781,0.000000,0.000000
27,0.210938,0.007812,0.000000,0.000000,0.578125,0.578125,0.421875,0.421875,0.000000,0.000000
28,0.218750,0.007812,0.000000,0.000000,0.578125,0.578125,0.421875,0.421875,0.000000,0.000000
29,0.226562,0.007812,0.000000,0.000000,0.582031,0.582031,0.417969,0.417969,0.000000,0.000000
30,0.234375,0.007812,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.199219,0.000000
31,0.242188,0.007812,0.000000,0.000000,0.085938,0.085938,0.914062,0.914062,0.199219,0.000000
32,0.250000,0.007812,0.000000,0.000000,0.085938,0.085938,0.914062,0.914062,0.199219,0.000000
33,0.257812,0.007812,0.000000,0.000000,0.085938,0.085938,0.914062,0.914062,0.199219,0.000000
34,0.265625,0.007812,0.000000,0.000000,0.085938,0.085938,0.914062,0.914062,0.199219,0.000000
35,0.273438,0.007812,0.000000,0.000000,0.085938,0.085938,0.914062,0.914062,0.199219,0.000000
36,0.281250,0.007812,0.000000,0.000000,0.085938,0.085938,0.914062,0.914062,0.199219,0.000000
37,0.289062,0.007812,-0.003906,0.000000,0.140625,0.031250,0.968750,0.859375,0.199219,0.000000
38,0.296875,0.007812,-0.003906,0.000000,0.093750,0.078125,0.921875,0.906250,0.199219,0.000000
39,0.304688,0.007812,-0.003906,0.000000,0.093750,0.078125,0.921875,0.906250,0.199219,0.000000
40,0.312500,0.007812,-0.003906,0.000000,0.093750,0.078125,0.921875,0.906250,0.199219,0.000000
41,0.320312,0.007812,-0.007812,0.000000,0.152344,0.019531,0.980469,0.847656,0.199219,0.000000
42,0.328125,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
43,0.335938,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
44,0.343750,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
45,0.351562,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
46,0.359375,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
47,0.367188,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
48,0.375000,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
49,0.382812,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
50,0.390625,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
51,0.398438,0.007812,-0.007812,0.000000,0.105469,0.066406,0.933594,0.894531,0.199219,0.000000
52,0.406250,0.007812,-0.011719,0.000000,0.160156,0.011719,0.988281,0.839844,0.199219,0.000000
53,0.414062,0.007812,-0.011719,0.000000,0.113281,0.058594,0.941406,0.886719,0.199219,0.000000
54,0.421875,0.007812,-0.011719,0.000000,0.113281,0.058594,0.941406,0.886719,0.199219,0.000000
55,0.429688,0.007812,-0.011719,0.000000,0.113281,0.058594,0.941406,0.886719,0.199219,0.000000
56,0.437500,0.007812,-0.011719,0.000000,0.113281,0.058594,0.941406,0.886719,0.199219,0.000000
57,0.445312,0.007812,-0.011719,0.000000,0.113281,0.058594,0.941406,0.886719,0.199219,0.000000
58,0.453125,0.007812,-0.011719,0.000000,0.113281,0.058594,0.941406,0.886719,0.199219,0.000000
59,0.460938,0.007812,-0.011719,0.000000,0.113281,0.058594,0.941406,0.886719,0.199219,0.000000
60,0.468750,0.007812,-0.011719,0.000000,1.000000,0.199219,0.199219,0.000000,0.000000,0.097656
61,0.476562,0.007812,-0.011719,0.000000,0.859375,0.312500,0.687500,0.140625,0.000000,0.097656
62,0.484375,0.007812,-0.011719,0.000000,0.859375,0.312500,0.687500,0.140625,0.000000,0.097656
63,0.492188,0.007812,-0.011719,0.000000,0.863281,0.316406,0.683594,0.136719,0.000000,0.097656
64,0.500000,0.007812,-0.011719,0.000000,0.863281,0.316406,0.683594,0.136719,0.000000,0.097656
65,0.507812,0.007812,-0.015625,0.000000,0.921875,0.265625,0.734375,0.078125,0.000000,0.097656
66,0.515625,0.007812,-0.015625,0.000000,0.875000,0.312500,0.687500,0.125000,0.000000,0.097656
67,0.523438,0.007812,-0.015625,0.000000,0.878906,0.316406,0.683594,0.121094,0.000000,0.097656
68,0.531250,0.007812,-0.015625,0.000000,0.878906,0.316406,0.683594,0.121094,0.000000,0.097656
69,0.539062,0.007812,-0.015625,0.000000,0.882812,0.320312,0.679688,0.117188,0.000000,0.097656
70,0.546875,0.007812,-0.015625,0.000000,0.882812,0.320312,0.679688,0.117188,0.000000,0.097656
71,0.554688,0.007812,-0.015625,0.000000,0.886719,0.324219,0.675781,0.113281,0.000000,0.097656
72,0.562500,0.007812,-0.015625,0.000000,0.886719,0.324219,0.675781,0.113281,0.000000,0.097656
73,0.570312,0.007812,-0.015625,0.000000,0.890625,0.328125,0.671875,0.109375,0.000000,0.097656
74,0.578125,0.007812,-0.019531,0.000000,0.949219,0.269531,0.730469,0.050781,0.000000,0.097656
75,0.585938,0.007812,-0.019531,0.000000,0.906250,0.320312,0.679688,0.093750,0.000000,0.097656
76,0.593750,0.007812,-0.019531,0.000000,0.906250,0.320312,0.679688,0.093750,0.000000,0.097656
77,0.601562,0.007812,-0.019531,0.000000,0.910156,0.324219,0.675781,0.089844,0.000000,0.097656
78,0.609375,0.007812,-0.019531,0.000000,0.910156,0.324219,0.675781,0.089844,0.000000,0.097656
79,0.617188,0.007812,-0.019531,0.000000,0.914062,0.328125,0.671875,0.085938,0.000000,0.097656
80,0.625000,0.007812,-0.019531,0.000000,0.914062,0.328125,0.671875,0.085938,0.000000,0.097656
81,0.632812,0.007812,-0.019531,0.000000,0.917969,0.332031,0.667969,0.082031,0.000000,0.097656
82,0.640625,0.007812,-0.019531,0.000000,0.917969,0.332031,0.667969,0.082031,0.000000,0.097656
83,0.648438,0.007812,-0.019531,0.000000,0.921875,0.335938,0.664062,0.078125,0.000000,0.097656
84,0.656250,0.007812,-0.023438,0.000000,0.976562,0.281250,0.718750,0.023438,0.000000,0.097656
85,0.664062,0.007812,-0.023438,0.000000,0.933594,0.332031,0.667969,0.066406,0.000000,0.097656
86,0.671875,0.007812,-0.023438,0.000000,0.933594,0.332031,0.667969,0.066406,0.000000,0.097656
87,0.679688,0.007812,-0.023438,0.000000,0.937500,0.335938,0.664062,0.062500,0.000000,0.097656
88,0.687500,0.007812,-0.023438,0.000000,0.937500,0.335938,0.664062,0.062500,0.000000,0.097656
89,0.695312,0.007812,-0.023438,0.000000,0.941406,0.339844,0.660156,0.058594,0.000000,0.097656
90,0.703125,0.007812,-0.023438,0.000000,0.941406,0.339844,0.660156,0.058594,0.000000,0.097656
91,0.710938,0.007812,-0.023438,0.000000,0.945312,0.343750,0.656250,0.054688,0.000000,0.097656
92,0.718750,0.007812,-0.023438,0.000000,0.945312,0.343750,0.656250,0.054688,0.000000,0.097656
93,0.726562,0.007812,-0.023438,0.000000,0.949219,0.347656,0.652344,0.050781,0.000000,0.097656
94,0.734375,0.007812,-0.023438,0.000000,0.949219,0.347656,0.652344,0.050781,0.000000,0.097656
95,0.742188,0.007812,-0.023438,0.000000,0.953125,0.351562,0.648438,0.046875,0.000000,0.097656
96,0.750000,0.007812,-0.023438,0.000000,0.953125,0.351562,0.648438,0.046875,0.000000,0.097656
97,0.757812,0.007812,-0.023438,0.000000,0.957031,0.355469,0.644531,0.042969,0.000000,0.097656
98,0.765625,0.007812,-0.023438,0.000000,0.957031,0.355469,0.644531,0.042969,0.000000,0.097656
99,0.773438,0.007812,-0.023438,0.000000,0.960938,0.359375,0.640625,0.039062,0.000000,0.097656
