Step,Time,Roll,Pitch,Yaw,M1,M2,M3,M4,Target_Roll,Target_Pitch
0,0,0,0,0,0.5,0.5,0.5,0.5,0,0
1,0.0078125,0,0,0,0.5,0.5,0.5,0.5,0,0
2,0.015625,0,0,0,0.5,0.5,0.5,0.5,0,0
3,0.0234375,0,0,0,0.5,0.5,0.5,0.5,0,0
4,0.03125,0,0,0,0.5,0.5,0.5,0.5,0,0
5,0.0390625,0,0,0,0.5,0.5,0.5,0.5,0,0
6,0.046875,0,0,0,0.5,0.5,0.5,0.5,0,0
7,0.0546875,0,0,0,0.5,0.5,0.5,0.5,0,0
8,0.0625,0,0,0,0.5,0.5,0.5,0.5,0,0
9,0.0703125,0,0,0,0.5,0.5,0.5,0.5,0,0
10,0.078125,0,0,0,0.5,0.5,0.5,0.5,0,0
11,0.0859375,0,0,0,0.5,0.5,0.5,0.5,0,0
12,0.09375,0,0,0,0.5,0.5,0.5,0.5,0,0
13,0.101562,0,0,0,0.5,0.5,0.5,0.5,0,0
14,0.109375,0,0,0,0.5,0.5,0.5,0.5,0,0
15,0.117188,0,0,0,0.5,0.5,0.5,0.5,0,0
16,0.125,0,0,0,0.5,0.5,0.5,0.5,0,0
17,0.132812,0,0,0,0.5,0.5,0.5,0.5,0,0
18,0.140625,0,0,0,0.5,0.5,0.5,0.5,0,0
19,0.148438,0,0,0,0.5,0.5,0.5,0.5,0,0
20,0.15625,0,0,0,0.5,0.5,0.5,0.5,0,0
21,0.164062,0,0,0,0.5,0.5,0.5,0.5,0,0
22,0.171875,0,0,0,0.5,0.5,0.5,0.5,0,0
23,0.179688,0,0,0,0.5,0.5,0.5,0.5,0,0
24,0.1875,0,0,0,0.5,0.5,0.5,0.5,0,0
25,0.195312,0,0,0,0.5,0.5,0.5,0.5,0,0
26,0.203125,0,0,0,0.5,0.5,0.5,0.5,0,0
27,0.210938,0,0,0,0.5,0.5,0.5,0.5,0,0
28,0.21875,0,0,0,0.5,0.5,0.5,0.5,0,0
29,0.226562,0,0,0,0.5,0.5,0.5,0.5,0,0
30,0.234375,0,0,0,0,0,1,1,0.199219,0
31,0.242188,0,0,0,0.00390625,0.00390625,0.996094,0.996094,0.199219,0
32,0.25,0,0,0,0.00390625,0.00390625,0.996094,0.996094,0.199219,0
33,0.257812,0,0,0,0.00390625,0.00390625,0.996094,0.996094,0.199219,0
34,0.265625,0,0,0,0.00390625,0.00390625,0.996094,0.996094,0.199219,0
35,0.273438,0,0,0,0.00390625,0.00390625,0.996094,0.996094,0.199219,0
36,0.28125,0,0,0,0.00390625,0.00390625,0.996094,0.996094,0.199219,0
37,0.289062,0,-0.00390625,0,0.0546875,0,1,0.894531,0.199219,0
38,0.296875,0,-0.00390625,0,0.0078125,0,1,0.984375,0.199219,0
39,0.304688,0,-0.00390625,0,0.0078125,0,1,0.984375,0.199219,0
40,0.3125,0,-0.00390625,0,0.0078125,0,1,0.984375,0.199219,0
41,0.320312,0,-0.0078125,0,0.0625,0,1,0.875,0.199219,0
42,0.328125,0,-0.0078125,0,0.0195312,0,1,0.960938,0.199219,0
